B	Luồng khai báo sự kiện Thu mua				
IX	[TXNG] Quản lý Cơ sở				
1	Đồng bộ danh sách Cơ sở từ ERP				
2	CRUD Cơ sở - gửi request sang ERP				
3	Gán User vào Cơ sở				
X	[TXNG] Quản lý Nhân viên				
4	Đồng bộ danh sách Nhân viên được phân quyền TXNG từ SSO				
5	CRUD Nhân viên - gửi request về Portal SSO				
XI	[TXNG] Thương phẩm				
7	Đồng bộ danh sách Thương phẩm từ ERP				
8	CRUD Thương phẩm - gửi request về ERP				
2	Phân loại theo nhóm				
3	Gán Thương phẩm với Sản phẩm nuôi trồng 				
XII	[TXNG] Tem TXNG				
1	CRUD - Tem TXNG				
2	Phân phối cho Doanh nghiệp 				
3	Phân loại theo nhóm				
XIII	[TXNG] Biểu mẫu sự kiện 				
1	Cấu hình biểu mẫu sự kiện - Thu mua				
2	Chọn "Đơn thu mua" liên kết với Đơn thu mua - ERP				
3	Khai báo thu mua Web - chọn "Đơn thu mua" autofill các thông tin liên quan 				
4	Tạo Mã QR Lô thu mua (Thông tin như Đơn thu mua: Hộ liên kết; Địa chỉ; Mã lô. Khối lượng) 				Khác tem TXNG cũ
5	Kích hoạt tem TXNG				
6	In tem QR 				Sau khi  tạo đơn có thể in tem lẻ để dán luôn lên lô
C	Luồng khai báo sản xuất - đóng gói				
I	[ERP] Quản lý Lệnh sản xuất				
1	CRUD Lệnh sản xuất				
II	[TXNG] Biểu mẫu sự kiện 				
1	Cấu hình biểu mẫu sự kiện - Chuyển đổi				
2	Khai báo Sản xuất Web - tạo lô 				
3	Chọn lệnh sản xuất - ERP -> tự động lọc/autofill các thông tin liên quan 				
4	Khai báo Đóng gói Web - tạo mã serial 				
5	Kích hoạt tem TXNG - cho lô/cho serial 				
6	Quản lý lô truy xuất 				
III	[ERP] QC				
1	CRUD template phiếu QC: Thu mua/Sản xuất/Đóng gói				
2	CRUD phiếu QC				
3	Gắn kết quả QC với lô thu mua/sản xuất/đóng gói				
IV	[ERP] Quản lý kho				
1	Đồng bộ thông tin lô thành phẩm từ TXNG				
2	Tạo Lệnh Nhập kho - lô thành phẩm 				
3	Tạo Lệnh Xuất kho - lô thành phẩm 				
4	Tính tồn lô thành phẩm				
5	Báo cáo tồn kho theo từng Thương phẩm/Thành phẩm 				
D	Luồng Bán hàng				
I	[ERP] Đơn hàng				
1	CRUD Đơn hàng thủ công				
2	Nhận đơn hàng từ trang MKT				
3	Tính toán giá trị đơn hàng				
4	Quản lý trạng thái đơn hàng: đang xử lý, hoàn thành, hủy, trả hàng				
II	[ERP] Khách hàng				
1	CRUD Khách hàng				
2	CRUD Hạng khách hàng & Tiêu chí xếp hạng				
3	Tính toán hạng khách				
III	Xử lý sau bán 				
1	Cập nhật tồn kho sau khi hủy, trả hàng				
IV	[ERP] Báo cáo Doanh thu/Công nợ				
1	Báo cáo Doanh thu				
2	Báo cáo Công nợ				
V	"[ERP] Phương tiện vận chuyển & 
Nguyên vật liệu phụ trợ"				
1	CRUD Phương tiện vận chuyển 				
2	CRUD Nguyên vật liệu phụ trợ 				
3	Quản lý trạng thái phương tiện vận chuyển 				
3	Quản lý tồn kho lô NVL phụ trợ 				
3	Quản lý trạng thái phương tiện vận chuyển 				
