Module	BẢNG CHUYỂN ĐỔI YÊU CẦU CHỨC NĂNG SANG TRƯỜNG HỢP SỬ DỤNG (USE-CASE)								
									
									
	TT	Tên Use-Case	Tên tác nhân chính	Tên tác nhân phụ	Mô tả trường hợp sử dụng	Số Trans	Mức độ cần thiết	Mức độ	Điếm số Trans
Thông tin doanh nghiệp 	1	Đồng bộ thông tin từ Portal SSO	Hệ thống ERP	Portal SSO	Đồng bộ các thông tin đã được thiết lập từ Portal SSO				
	2	Xem thông tin doanh nghiệp	Admin ERP		Xem thông tin doanh nghiệp đã được đồng bộ 				
	3	Cập nhật thông tin doanh nghiệp 	Admin ERP		Cho phép người dùng cập nhật thông tin về "Câu chuyện doanh nghiệp, link website..." phục vụ hiển thị ở màn quét tem TXNG				
Người dùng	4	Đồng bộ danh sách người dùng từ SSO	Hệ thống ERP	Portal SSO	TXNG tự động lấy danh sách người dùng đã được cấp quyền từ SSO để sử dụng trong hệ thống, đảm bảo luôn đồng bộ với tài khoản đăng nhập.				
	5	Gán User vào vai trò cụ thể	Admin ERP		Người dùng thực hiện thao tác gán Admin ERP vào cơ sở hoặc vùng trồng ngay trên TXNG; hệ thống gửi yêu cầu sang ERP để cập nhật và chỉ ghi nhận khi ERP xác nhận thành công.				
	6	Phân quyền thao tác theo vai trò trong ERP	Admin ERP		Cho phép user khai báo, nhập dữ liệu các hoạt động canh tác, sự kiện sản xuất theo Cơ sở được phân quyền				
	7	Xem danh sách người dùng	Admin ERP	Portal SSO	Hiển thị danh sách Admin ERP đã đồng bộ từ Portal 				
	8	Xem chi tiết người dùng	Admin ERP		Xem thông tin 1 Admin ERP 				
	9	Cập nhật thông tin người dùng	Admin ERP	Portal SSO	Cập nhật thông tin cho Admin ERP -> gửi yêu cầu cập nhật về Portal SSO				
	10	Xóa	Admin ERP	Portal SSO	Xóa tài khoản Admin ERP -> gửi yêu cầu về Portal SSO				
	I. Dashboard ERP tổng thể								
	11	Xem tổng quan hệ thống ERP	Admin ERP	Hệ thống	Hiển thị dashboard tổng quan với các chỉ số KPI chính: tổng đơn hàng, doanh thu, tồn kho, sản lượng thu mua và sản xuất theo ngày/tuần/tháng.		M	Trung bình	
	12	Xem số liệu đơn hàng tổng thể	Admin ERP	Hệ thống	Hiển thị widget tổng số đơn hàng đang xử lý, đơn hàng hoàn thành, đơn hàng hủy trong kỳ lọc được chọn.		M	Trung bình	
	13	Xem doanh thu tổng hợp trên Dashboard	Admin ERP	Hệ thống	Hiển thị tổng doanh thu và tổng tiền đã thu trong kỳ, so sánh với kỳ trước hoặc mục tiêu.		M	Trung bình	
	14	Xem cảnh báo tồn kho trên Dashboard	Admin ERP	Hệ thống	Hiển thị danh sách sản phẩm sắp hết hàng hoặc hết hàng, giúp quản lý nhanh chóng xử lý.		M	Trung bình	
	15	Xem tiến độ thu mua trên Dashboard	Admin ERP	Hệ thống	Hiển thị sản lượng thu mua thực tế so với kế hoạch (lệnh thu mua), % hoàn thành theo lệnh đang mở.		M	Trung bình	
	16	Xem tiến độ sản xuất trên Dashboard	Admin ERP	Hệ thống	Hiển thị số lệnh sản xuất đang chạy, tổng khối lượng thành phẩm trong kỳ.		M	Trung bình	
	17	Lọc Dashboard theo thời gian	Admin ERP	Hệ thống	Cho phép lọc toàn bộ Dashboard theo ngày, tuần, tháng, quý hoặc tùy chỉnh khoảng thời gian.		M	Trung bình	
	18	Điều hướng từ Dashboard sang module chi tiết	Admin ERP	Hệ thống	Từ Dashboard, quản lý có thể click vào widget để chuyển sang màn hình chi tiết của module tương ứng (đơn hàng, kho, thu mua...).		M	Trung bình	
	II. Báo cáo thống kê tổng thể								
	19	Báo cáo doanh thu tổng hợp	Hệ thống		Hiển thị báo cáo tổng doanh thu theo ngày/tháng/năm, phân tách theo kênh bán (ERP thủ công, website), loại sản phẩm và khách hàng.		M	Trung bình	
	20	Báo cáo sản lượng thu mua & sản xuất	Hệ thống		Báo cáo tổng sản lượng nguyên liệu thu mua và thành phẩm sản xuất theo kỳ, phân tách theo vùng trồng, loại chè, nông hộ.		M	Trung bình	
	21	Báo cáo tồn kho tổng hợp	Hệ thống		Cung cấp báo cáo tồn kho đầu kỳ – nhập – xuất – tồn cuối kỳ, phân loại theo nhóm sản phẩm và lô batch.		M	Trung bình	
	22	Báo cáo chất lượng tổng thể (QC)	Hệ thống		Thống kê tỷ lệ đạt QC theo từng giai đoạn (đầu vào, sản xuất, đầu ra), theo vùng trồng và nông hộ trong kỳ.		M	Trung bình	
	23	Báo cáo công nợ tổng hợp	Hệ thống		Hiển thị tổng công nợ phải thu từ khách hàng, phân loại theo hạng khách, tình trạng nợ và hạn thanh toán.		M	Trung bình	
	24	Xuất báo cáo tổng thể	Hệ thống		Cho phép xuất tất cả các loại báo cáo tổng thể ra định dạng Excel hoặc PDF để phục vụ lưu trữ và báo cáo nội bộ.		M	Trung bình	
	III. Quản lý đơn hàng								
	21	Tạo đơn hàng thủ công	Admin ERP	Hệ thống	Tạo đơn thủ công (không liên kết báo giá)				
	22	Tạo đơn hàng tự động từ website marketing	Hệ thống	Admin ERP	Tạo đơn hàng tự động từ website marketing				
	23	Cập nhật thông tin chung đơn hàng	Admin ERP		Sửa khách hàng, ngày, ghi chú				
	24	Cập nhật sản phẩm trong đơn	Admin ERP		Thêm / sửa / xóa sản phẩm				
	25	Cập nhật giá trị đơn hàng	Admin ERP	Hệ thống	Sửa giá, chiết khấu, VAT				
	26	Cập nhật trạng thái đơn hàng	Admin ERP	Hệ thống	Xác nhận / xử lý / giao / hoàn thành / hủy				
	27	Cập nhật thông tin giao hàng	Admin ERP		Mã vận đơn, đơn vị VC, ghi chú				
	28	Xóa / hủy đơn hàng	Admin ERP		Hủy đơn hoặc xóa				
	29	Xem danh sách đơn hàng	Admin ERP		Hiển thị danh sách				
	30	Tìm kiếm / lọc đơn hàng	Admin ERP		Theo mã, khách, thời gian				
	31	Xem chi tiết đơn hàng	Admin ERP		Xem full thông tin				
	32	Nhập thông tin khách hàng	Admin ERP		Chọn / tìm khách				
	33	Tính toán giá trị đơn hàng	Hệ thống		Tính tổng tiền, VAT				
	34	Phân loại đơn Web / thủ công	Hệ thống		Phân biệt nguồn đơn				
	35	In / xuất đơn hàng	Admin ERP		In / PDF / Excel				
	IV. Quản lý lô & truy xuất								
	36	Chọn lô xuất bán	Admin ERP	Hệ thống	Chọn batch sản phẩm				
	37	Kiểm tra tồn kho theo lô	Hệ thống		Kiểm tra tồn				
	38	Kiếm soát không nhập vượt tồn	Hệ thống		Chặn vượt tồn				
	39	Xem tồn kho theo lô	Admin ERP		Hiển thị tồn				
	V. Xử lý sau bán				In danh sách đơn mua				
	40	Hủy đơn hàng	Admin ERP		Hủy đơn				
	41	Cập nhật tồn kho sau khi hủy đơn	Hệ thống		Khi đơn hàng bị hủy, hệ thống tự động hoàn lại số lượng hàng đã xuất kho vào tồn kho tương ứng theo lô batch.				
	42	Hoàn trả hàng	Admin ERP		Xử lý trả hàng				
	43	Điều chỉnh đơn hàng	Admin ERP		Sửa sau khi tạo				
	44	Ghi nhận lý do thay đổi	Admin ERP		Lưu lý do				
	VI. Dashboard & báo cáo								
	45	Xem số lượng đơn hàng đang xử lý	Admin ERP		Xem đơn hàng đang xử lý				
	46	Xem tổng doanh thu	Admin ERP		Doanh thu				
	47	Xem tiền đã thu	Admin ERP		Đã thanh toán				
	48	Thống kê đơn hàng	Admin ERP		Số lượng				
	49	Xem công nợ	Admin ERP		Danh sách nợ				
	VII. Hệ thống & mở rộng								
	50	Xuất Excel danh sách đơn hàng	Admin ERP		Export				
	51	Xuất PDF danh sách đơn hàng	Admin ERP		Export				
	52	In danh sách đơn hàng	Admin ERP		In				
Quản lý sản phẩm nuôi trồng	53	Nhận dữ liệu Sản phẩm nuôi trồng từ TXNG	Hệ thống ERP	Hệ thống TXNG	Hệ thống ERP tiếp nhận dữ liệu sản phẩm nuôi trồng được đồng bộ từ TXNG và cập nhật vào danh mục sản phẩm.				
	54	Nhận dữ liệu Sản phẩm nuôi trồng từ Vùng trồng	Hệ thống ERP	Hệ thống Vùng trồng	Hệ thống ERP tiếp nhận dữ liệu sản phẩm nuôi trồng từ hệ thống Vùng trồng và cập nhật vào danh mục sản phẩm.				
	55	Xem danh sách Giống chè	Admin ERP		Admin ERP tra cứu danh sách sản phẩm nuôi trồng trong hệ thống, hỗ trợ tìm kiếm và lọc theo tiêu chí.				
	56	Thêm mới Giống chè	Admin ERP		Admin ERP tạo mới sản phẩm nuôi trồng (giống chè), nhập các thông tin như tên, mã, mô tả để quản lý trong hệ thống.				
	57	Cập nhật thông tin Giống chè	Admin ERP		Admin ERP chỉnh sửa thông tin sản phẩm nuôi trồng đã tạo.				
	58	Xem chi tiết Giống chè	Admin ERP		Admin ERP xem thông tin chi tiết của một sản phẩm nuôi trồng.				
	59	Xóa Giống chè	Admin ERP		Admin ERP thực hiện xóa sản phẩm nuôi trồng khỏi hệ thống khi không còn sử dụng.				
	60	Gán Giống chè với Thương phẩm	Admin ERP	Hệ thống	Admin ERP thiết lập liên kết giữa sản phẩm nuôi trồng và sản phẩm thương phẩm để phục vụ truy xuất nguồn gốc.				
	61	Gán Giống chè với Vùng trồng	Admin ERP	Hệ thống Vùng trồng	Admin ERP thiết lập liên kết giữa sản phẩm nuôi trồng và vùng trồng tương ứng.				
	62	Bỏ gán Sản phẩm nuôi trồng với Thương phẩm	Admin ERP	Hệ thống	Admin ERP hủy liên kết giữa sản phẩm nuôi trồng và sản phẩm thương phẩm.				
Quản lý Vùng trồng	63	Thêm mới vùng trồng							
	64	Gán Giống chè với Vùng trồng	Admin ERP	Hệ thống Vùng trồng	Admin ERP hủy liên kết giữa sản phẩm nuôi trồng và vùng trồng.				
	65	Nhận dữ liệu tạo mới Vùng trồng từ TXNG	Hệ thống ERP	Hệ thống TXNG	ERP nhận request tạo Vùng trồng mới do TXNG gửi (Khai báo vùng trồng); 				
	66	Nhận dữ liệu tạo mới Vùng trồng từ Vùng Trồng	Hệ thống ERP	Vùng Trồng	ERP nhận request tạo Vùng trồng mới do Vùng Trồng gửi (Khai báo vùng trồng); 				
	67	Đồng bộ Vùng trồng sang TXNG, Vùng Trồng	Hệ thống ERP	Hệ thống TXNG	Khi ERP phát sinh thêm/cập nhật Vùng trồng thì tự động gửi thông tin sang TXNG để đồng bộ.				
	68	Cập nhật Vùng trồng 	Hệ thống ERP	Hệ thống TXNG	ERP nhận và xử lý request cập nhật thông tin Vùng trồng từ TXNG; xác nhận và đồng bộ ngược lại.				
	69	Xem danh sách Vùng trồng	Admin ERP	Hệ thống	Hiển thị danh sách toàn bộ Vùng trồng trong DB chung ERP (đồng bộ với TXNG).				
	70	Xem chi tiết Vùng trồng	Admin ERP	Hệ thống	Xem thông tin Vùng trồng: diện tích, GPS, nông hộ liên kết, sản phẩm nuôi trồng, lịch sử.				
	71	Xóa / ngưng hoạt động Vùng trồng 	Admin ERP	Hệ thống TXNG	ERP nhận yêu cầu xóa Vùng trồng từ TXNG, quản lý xác nhận và gửi kết quả về TXNG.				
