No.	Task	Priority	PIC	Status	Note
A	Luồng tạo đơn Thu mua				
I	Portal SSO				
1	Quản lý doanh nghiệp 				
2	Phân quyền cho từng phân hệ 				
3	Tạo & quản lý User				
4	Phân quyền User				
5	Màn hình Đăng nhập tập trung				
6	Cơ chế Redirect đến từng phân hệ 				
7	Quản lý phiên đăng nhập (Đăng xuất)				
					
8	Internal API Provider				
II	[ERP] Thông tin Doanh nghiệp				
1	Đồng bộ thông tin Doanh nghiệp từ Portal SSO				
2	Xem/Chỉnh sửa thông tin doanh nghiệp 				
III	[ERP] Quản lý nhân viên				
1	Đồng bộ thông tin User từ Portal SSO				
2	CRUD User - gửi request về Portal SSO				
IV	[ERP] Đơn vị tính & Tỉnh/Thành phố				
1	CRUD đơn vị tính dùng chung cho hệ thống				
2	Import dữ liệu Tỉnh/Thành phố 				
V	[ERP] Quản lý cơ sở				
1	CRUD Cơ sở (Hộ liên kết, Nhà đóng gói...)				
2	Gán User cho cơ sở				
VI	[ERP] Quản lý Thương phẩm (Bán Thành phẩm, Thành phẩm cuối)				
1	CRUD Thương phẩm 				
2	Phân loại theo nhóm				
3	Gán Thương phẩm với Sản phẩm nuôi trồng 				
VII	[ERP] Quy cách - % Chất lượng - Tiêu chuẩn đánh giá				
1	CRUD Quy cách - gán với đơn giá 				
2	CRUD % Chất lượng - gán với đơn giá				
3	CRUD - Tiêu chuẩn đánh giá 				
VIII	[ERP] Quản lý Đơn thu mua - ERP				
1	Tạo đơn Thu mua				
2	Chọn Hộ Liên kết				
3	Tính Đơn giá theo Quy cách/%Chất lượng 				
B	Luồng khai báo sự kiện Thu mua				
IX	[TXNG] Quản lý Cơ sở				
1	Đồng bộ danh sách Cơ sở từ ERP				
2	CRUD Cơ sở - gửi request sang ERP				
3	Gán User vào Cơ sở				
X	[TXNG] Quản lý Nhân viên				
4	Đồng bộ danh sách Nhân viên được phân quyền TXNG từ SSO				
5	CRUD Nhân viên - gửi request về Portal SSO				
XI	[TXNG] Thương phẩm				
7	Đồng bộ danh sách Thương phẩm từ ERP				
8	CRUD Thương phẩm - gửi request về ERP				
2	Phân loại theo nhóm				
3	Gán Thương phẩm với Sản phẩm nuôi trồng 				
XII	[TXNG] Tem TXNG				
1	CRUD - Tem TXNG				
2	Phân phối cho Doanh nghiệp 				
3	Phân loại theo nhóm				
XIII	[TXNG] Biểu mẫu sự kiện 				
1	Cấu hình biểu mẫu sự kiện - Thu mua				
2	Chọn "Đơn thu mua" liên kết với Đơn thu mua - ERP				
3	Khai báo thu mua Web - chọn "Đơn thu mua" autofill các thông tin liên quan 				
4	Kích hoạt tem TXNG				
C	Luồng khai báo sản xuất - đóng gói				
I	[ERP] Quản lý Lệnh sản xuất				
1	CRUD Lệnh sản xuất				
II	[TXNG] Biểu mẫu sự kiện 				
1	Cấu hình biểu mẫu sự kiện - Chuyển đổi				
2	Khai báo Sản xuất Web - tạo lô 				
3	Chọn lệnh sản xuất - ERP -> tự động lọc/autofill các thông tin liên quan 				
4	Khai báo Đóng gói Web - tạo mã serial 				
5	Kích hoạt tem TXNG - cho lô/cho serial 				
6	Quản lý lô truy xuất 				
III	[ERP] QC				
1	CRUD template phiếu QC: Thu mua/Sản xuất/Đóng gói				
2	CRUD phiếu QC				
3	Gắn kết quả QC với lô thu mua/sản xuất/đóng gói				
IV	[ERP] Quản lý kho				
1	Đồng bộ thông tin lô thành phẩm từ TXNG				
2	Tạo Lệnh Nhập kho - lô thành phẩm 				
3	Tạo Lệnh Xuất kho - lô thành phẩm 				
4	Tính tồn lô thành phẩm				
5	Báo cáo tồn kho theo từng Thương phẩm/Thành phẩm 				
D	Luồng Bán hàng				
I	[ERP] Đơn hàng				
1	CRUD Đơn hàng thủ công				
2	Nhận đơn hàng từ trang MKT				
3	Tính toán giá trị đơn hàng				
4	Quản lý trạng thái đơn hàng: đang xử lý, hoàn thành, hủy, trả hàng				
II	[ERP] Khách hàng				
1	CRUD Khách hàng				
2	CRUD Hạng khách hàng & Tiêu chí xếp hạng				
3	Tính toán hạng khách				
III	Xử lý sau bán 				
1	Cập nhật tồn kho sau khi hủy, trả hàng				
IV	[ERP] Báo cáo Doanh thu/Công nợ				
1	Báo cáo Doanh thu				
2	Báo cáo Công nợ				
V	"[ERP] Phương tiện vận chuyển & 
Nguyên vật liệu phụ trợ"				
1	CRUD Phương tiện vận chuyển 				
2	CRUD Nguyên vật liệu phụ trợ 				
3	Quản lý trạng thái phương tiện vận chuyển 				
3	Quản lý tồn kho lô NVL phụ trợ 				
3	Quản lý trạng thái phương tiện vận chuyển 				
