Sprint	Thời gian	Mục tiêu Sprint	User Story chính	Story Point	Doc Link	Ghi chú
1	2 tuần 	"Login + Tạo DN + Tạo User
Portal SSO"	Đăng nhập			
			Thêm mới doanh nghiệp 			Dữ liệu Tỉnh/Thành phố, Xã/phường 
			Xem danh sách Doanh nghiệp 			
			Tìm kiếm, lọc Doanh nghiệp 			
			Xem chi tiết Doanh nghiệp 			
			Cập nhật thông tin DN			
			Xóa Doanh nghiệp 			
			Phân quyền Doanh nghiệp 			
			Thêm mới User			
			Xem danh sách Doanh nghiệp 			
			Tìm kiếm, lọc User			
			Xem chi tiết User			
			Cập nhật thông tin User			
			Reset Mật khẩu mặc định			
			Xóa user			
			Phân quyền user			
			CRUD Đơn vị tính			
		Đồng bộ thông tin DN & User từ Portal SSO sang ERP	Đồng bộ thông tin DN từ Portal			
			Xem chi tiết doanh nghiệp 			
			Cập nhật thông tin DN			
			Đồng bộ thông tin User từ Portal 			
			Thêm mới User			Gửi request về Portal
			Xem danh sách User			
			Tìm kiếm, lọc User			
			Xem chi tiết User			
			Cập nhật thông tin User			
			Reset Mật khẩu mặc định 			
			Xóa User			
			Phân quyền User			
		Tạo cơ sở & gán nhân viên cho Cơ sở	Thêm mới cơ sở			"- Hộ liên kết, Cơ sở sản xuất (thuê ngoài/nội bộ)
- Gán nhân viên với cơ sở"
			Import danh sách từ file Excel			
			Sinh mã QR Hộ liên kết			
			In QR Hộ liên kết			
			Xem danh sách cơ sở			
			Tìm kiếm, lọc Cơ sở 			
			Xem chi tiết cơ sở			
			Xuất file excel cơ sở			
			Cập nhật thông tin cơ sở			
			Xóa/Ngưng hoạt động cơ sở			
2	2 tuần 	"Tạo danh sách Thương phẩm
(Bán thành phẩm, Thành phẩm cuối)"	Thêm mới thương phẩm 			Gán với Sản phẩm nuôi trồng (làm sau)
			Xem danh sách thương phẩm 			
			Tìm kiếm, lọc Thương phẩm 			
			Xem chi tiết thương phẩm 			
			Cập nhật thương phẩm 			
			Xóa thương phẩm 			
		Tạo Quy cách - % Chất lượng - Tiêu chuẩn đánh giá	Thêm mới Quy cách 			"- Thiết lập Đơn giá theo Quy cách 
- Gán với Thương phẩm (Chè thu mua)"
			Xem danh sách Quy cách			
			Xuất danh sách Quy cách 			Excel/PDF??
			Chỉnh sửa Quy cách			
			Xóa Quy cách 			
			Thêm mới % Chất lượng			"- Thiết lập Đơn giá theo % Chất lượng
- Gán với Quy cách áp dụng
- Xếp loại Chất lượng: Đạt/Khá/Tốt/Xuất sắc"
			Xem danh sách % chất lượng 			
			Chỉnh sửa % Chất lượng			
			Xóa % Chất lượng			
			Thêm mới Tiêu chuẩn			
			Xem danh sách Tiêu chuẩn			
			Chỉnh sửa Tiêu chuẩn 			
			Xóa Tiêu chuẩn 			
		Tạo đơn thu mua	Tạo mới Đơn thu mua			"- Chọn Thương phẩm thu mua
- Nhập Quy cách/% Đánh giá -> tính Giá tiền
- NOTE:
+ Giai đoạn sau sẽ lấy dữ liệu từ Đơn thu mua để khai báo tạo Lô ở phân hệ TXNG"
			Xem danh sách Đơn thu mua			
			Tìm kiếm, lọc Đơn thu mua			
			Xem chi tiết Đơn thu mua			
			Cập nhật Đơn thu mua			
			Xóa Đơn thu mua			
